idRegistration, startTime, idValueType, value
10221, 2026-04-29T16:00:00Z,8,1.3
40237, 2026-04-29T16:00:00Z,8,6.2
40238, 2026-04-29T16:00:00Z,8,96.8
40244, 2026-04-29T16:00:00Z,8,92.6
40257, 2026-04-29T16:00:00Z,8,1.3
40259, 2026-04-29T16:00:00Z,6,-5008.0
40260, 2026-04-29T16:00:00Z,6,-5008.0
40261, 2026-04-29T16:00:00Z,8,14.8
40279, 2026-04-29T16:00:00Z,8,1.3
40281, 2026-04-29T16:00:00Z,8,2.1
40282, 2026-04-29T16:00:00Z,8,167.0
40283, 2026-04-29T16:00:00Z,8,88.8
40284, 2026-04-29T16:00:00Z,8,2.9
40285, 2026-04-29T16:00:00Z,8,10.1
40288, 2026-04-29T16:00:00Z,8,11.6
40308, 2026-04-29T16:00:00Z,8,4.0
40309, 2026-04-29T16:00:00Z,8,92.2
40310, 2026-04-29T16:00:00Z,8,5.2
40311, 2026-04-29T16:00:00Z,8,9.0
40316, 2026-04-29T16:00:00Z,8,11.5
40331, 2026-04-29T16:00:00Z,8,26.5
40338, 2026-04-29T16:00:00Z,8,24.2
40340, 2026-04-29T16:00:00Z,8,33.3
40341, 2026-04-29T16:00:00Z,8,61.6
40342, 2026-04-29T16:00:00Z,8,54.3
40343, 2026-04-29T16:00:00Z,8,19.4
40352, 2026-04-29T16:00:00Z,8,4.8
40354, 2026-04-29T16:00:00Z,8,92.2
40355, 2026-04-29T16:00:00Z,8,5.7
40356, 2026-04-29T16:00:00Z,8,8.8
40369, 2026-04-29T16:00:00Z,8,2.1
40406, 2026-04-29T16:00:00Z,8,1.3
40408, 2026-04-29T16:00:00Z,8,1.0
40410, 2026-04-29T16:00:00Z,8,93.8
40411, 2026-04-29T16:00:00Z,8,2.1
40412, 2026-04-29T16:00:00Z,8,2.5
40419, 2026-04-29T16:00:00Z,8,3.8
40448, 2026-04-29T16:00:00Z,8,3.8
40450, 2026-04-29T16:00:00Z,8,5.0
40451, 2026-04-29T16:00:00Z,8,5.5
40507, 2026-04-29T16:00:00Z,8,91.2
40522, 2026-04-29T16:00:00Z,8,3.0
40528, 2026-04-29T16:00:00Z,8,3.5
40530, 2026-04-29T16:00:00Z,8,5.2
40532, 2026-04-29T16:00:00Z,8,91.4
40533, 2026-04-29T16:00:00Z,8,7.5
40534, 2026-04-29T16:00:00Z,8,5.2
40541, 2026-04-29T16:00:00Z,8,3.1
40542, 2026-04-29T16:00:00Z,8,1.3
40544, 2026-04-29T16:00:00Z,8,2.3
40545, 2026-04-29T16:00:00Z,8,93.2
40546, 2026-04-29T16:00:00Z,8,2.9
40555, 2026-04-29T16:00:00Z,8,10.4
40557, 2026-04-29T16:00:00Z,8,9.0
40559, 2026-04-29T16:00:00Z,8,82.2
40560, 2026-04-29T16:00:00Z,8,9.6
40561, 2026-04-29T16:00:00Z,8,21.0
40604, 2026-04-29T16:00:00Z,8,1.3
40606, 2026-04-29T16:00:00Z,8,10.1
40607, 2026-04-29T16:00:00Z,8,11.5
40608, 2026-04-29T16:00:00Z,8,11.6
40614, 2026-04-29T16:00:00Z,8,6.9
40615, 2026-04-29T16:00:00Z,8,7.5
40616, 2026-04-29T16:00:00Z,8,19.9
40626, 2026-04-29T16:00:00Z,8,21.3
40630, 2026-04-29T16:00:00Z,8,1.3
40632, 2026-04-29T16:00:00Z,8,6.1
40634, 2026-04-29T16:00:00Z,8,7.1
40635, 2026-04-29T16:00:00Z,8,15.1
40649, 2026-04-29T16:00:00Z,8,1.3
40651, 2026-04-29T16:00:00Z,8,5.7
40652, 2026-04-29T16:00:00Z,8,5.7
40653, 2026-04-29T16:00:00Z,8,19.6
40657, 2026-04-29T16:00:00Z,8,13.4
40658, 2026-04-29T16:00:00Z,8,1.3
40660, 2026-04-29T16:00:00Z,8,3.1
40661, 2026-04-29T16:00:00Z,8,85.4
40662, 2026-04-29T16:00:00Z,8,4.2
40663, 2026-04-29T16:00:00Z,8,5.0
40686, 2026-04-29T16:00:00Z,8,1.3
40690, 2026-04-29T16:00:00Z,8,87.2
40692, 2026-04-29T16:00:00Z,8,8.1
40693, 2026-04-29T16:00:00Z,8,1.3
40695, 2026-04-29T16:00:00Z,8,1.0
40696, 2026-04-29T16:00:00Z,8,87.8
40697, 2026-04-29T16:00:00Z,8,1.0
40698, 2026-04-29T16:00:00Z,8,23.8
40708, 2026-04-29T16:00:00Z,8,91.2
40712, 2026-04-29T16:00:00Z,8,0.03
40714, 2026-04-29T16:00:00Z,8,1.24
40715, 2026-04-29T16:00:00Z,8,106.1
40716, 2026-04-29T16:00:00Z,8,1.7
40721, 2026-04-29T16:00:00Z,8,99.2
40736, 2026-04-29T16:00:00Z,8,1.3
40738, 2026-04-29T16:00:00Z,8,4.4
40740, 2026-04-29T16:00:00Z,8,94.2
40741, 2026-04-29T16:00:00Z,8,5.4
40742, 2026-04-29T16:00:00Z,8,3.3
40743, 2026-04-29T16:00:00Z,8,5.3
40744, 2026-04-29T16:00:00Z,8,1.3
40746, 2026-04-29T16:00:00Z,8,5.5
40748, 2026-04-29T16:00:00Z,8,86.2
40749, 2026-04-29T16:00:00Z,8,6.9
40750, 2026-04-29T16:00:00Z,8,8.9
40764, 2026-04-29T16:00:00Z,8,92.6
40771, 2026-04-29T16:00:00Z,8,84.6
40792, 2026-04-29T16:00:00Z,8,5.9
40794, 2026-04-29T16:00:00Z,8,2.1
40795, 2026-04-29T16:00:00Z,8,91.0
40796, 2026-04-29T16:00:00Z,8,2.7
40797, 2026-04-29T16:00:00Z,8,3.5
40798, 2026-04-29T16:00:00Z,8,4.0
40799, 2026-04-29T16:00:00Z,6,-5002.0
40805, 2026-04-29T16:00:00Z,8,7.5
40815, 2026-04-29T16:00:00Z,8,92.6
40817, 2026-04-29T16:00:00Z,8,5.1
40819, 2026-04-29T16:00:00Z,8,2.5
40820, 2026-04-29T16:00:00Z,8,87.6
40821, 2026-04-29T16:00:00Z,8,2.9
40822, 2026-04-29T16:00:00Z,8,6.4
40835, 2026-04-29T16:00:00Z,6,-5003.0
40837, 2026-04-29T16:00:00Z,6,-5003.0
40838, 2026-04-29T16:00:00Z,6,-5003.0
40839, 2026-04-29T16:00:00Z,8,94.2
40840, 2026-04-29T16:00:00Z,6,-5003.0
40841, 2026-04-29T16:00:00Z,8,6.7
40845, 2026-04-29T16:00:00Z,8,88.4
40848, 2026-04-29T16:00:00Z,8,10.9
40851, 2026-04-29T16:00:00Z,8,5.9
40852, 2026-04-29T16:00:00Z,8,216.0
40853, 2026-04-29T16:00:00Z,8,9.9
40854, 2026-04-29T16:00:00Z,8,8.2
40878, 2026-04-29T16:00:00Z,8,86.0
40880, 2026-04-29T16:00:00Z,8,7.7
40885, 2026-04-29T16:00:00Z,8,10.2
40902, 2026-04-29T16:00:00Z,8,3.6
40904, 2026-04-29T16:00:00Z,8,103.9
40905, 2026-04-29T16:00:00Z,8,4.8
40918, 2026-04-29T16:00:00Z,8,94.0
40920, 2026-04-29T16:00:00Z,8,2.1
40992, 2026-04-29T16:00:00Z,8,6.1
40994, 2026-04-29T16:00:00Z,8,6.7
40996, 2026-04-29T16:00:00Z,8,8.2
40997, 2026-04-29T16:00:00Z,8,18.6
41007, 2026-04-29T16:00:00Z,8,17.0
41008, 2026-04-29T16:00:00Z,8,1.3
41010, 2026-04-29T16:00:00Z,8,6.7
41012, 2026-04-29T16:00:00Z,8,7.1
41028, 2026-04-29T16:00:00Z,8,4.6
41029, 2026-04-29T16:00:00Z,8,6.1
41030, 2026-04-29T16:00:00Z,8,3.4
41037, 2026-04-29T16:00:00Z,8,97.8
41043, 2026-04-29T16:00:00Z,8,86.6
41045, 2026-04-29T16:00:00Z,8,11.4
41050, 2026-04-29T16:00:00Z,8,13.5
41056, 2026-04-29T16:00:00Z,8,4.0
41058, 2026-04-29T16:00:00Z,8,5.9
41059, 2026-04-29T16:00:00Z,8,7.5
41060, 2026-04-29T16:00:00Z,8,5.9
41090, 2026-04-29T16:00:00Z,8,1.3
41093, 2026-04-29T16:00:00Z,8,91.4
41095, 2026-04-29T16:00:00Z,8,15.7
41101, 2026-04-29T16:00:00Z,8,8.8
41139, 2026-04-29T16:00:00Z,8,11.3
41140, 2026-04-29T16:00:00Z,8,14.7
41141, 2026-04-29T16:00:00Z,8,25.3
41144, 2026-04-29T16:00:00Z,8,26.6
41145, 2026-04-29T16:00:00Z,8,15.9
41146, 2026-04-29T16:00:00Z,8,17.9
41151, 2026-04-29T16:00:00Z,6,-5009.0
41156, 2026-04-29T16:00:00Z,8,61.8
41157, 2026-04-29T16:00:00Z,8,34.2
41158, 2026-04-29T16:00:00Z,8,546.0
41171, 2026-04-29T16:00:00Z,8,93.6
41172, 2026-04-29T16:00:00Z,8,325.007
41179, 2026-04-29T16:00:00Z,8,4.4
41180, 2026-04-29T16:00:00Z,8,8.7
41181, 2026-04-29T16:00:00Z,8,8.2
41182, 2026-04-29T16:00:00Z,8,10.5
41224, 2026-04-29T16:00:00Z,8,2.9
41226, 2026-04-29T16:00:00Z,8,4.6
41227, 2026-04-29T16:00:00Z,8,3.3
41228, 2026-04-29T16:00:00Z,8,18.0
