id_registration,station_code,street,city,lon,lat,alt,component_code,component_name,unit
40555,TOFFA,Gen. Janouška,Ostrava - Fifejdy,18.263689041137695,49.83918762207031,220 m,SO2,oxid siřičitý,ug/m^3
40557,TOFFA,Gen. Janouška,Ostrava - Fifejdy,18.263689041137695,49.83918762207031,220 m,NO2,oxid dusičitý,ug/m^3
40560,TOFFA,Gen. Janouška,Ostrava - Fifejdy,18.263689041137695,49.83918762207031,220 m,NOx,oxidy dusíku,ug/m^3
40559,TOFFA,Gen. Janouška,Ostrava - Fifejdy,18.263689041137695,49.83918762207031,220 m,O3,přízemní ozon,ug/m^3
40561,TOFFA,Gen. Janouška,Ostrava - Fifejdy,18.263689041137695,49.83918762207031,220 m,PM10,částice PM10,ug/m^3
1648691,TOFFA,Gen. Janouška,Ostrava - Fifejdy,18.263689041137695,49.83918762207031,220 m,INDX,Index kvality ovzduší,
40614,TFMIA,28.října  86,Frýdek - Místek,18.351070404052734,49.671791076660156,290 m,NO2,oxid dusičitý,ug/m^3
40615,TFMIA,28.října  86,Frýdek - Místek,18.351070404052734,49.671791076660156,290 m,NOx,oxidy dusíku,ug/m^3
1366118,TFMIA,28.října  86,Frýdek - Místek,18.351070404052734,49.671791076660156,290 m,PM2_5,"jemné částice PM2,5",ug/m^3
40616,TFMIA,28.října  86,Frýdek - Místek,18.351070404052734,49.671791076660156,290 m,PM10,částice PM10,ug/m^3
1648892,TFMIA,28.října  86,Frýdek - Místek,18.351070404052734,49.671791076660156,290 m,INDX,Index kvality ovzduší,
40851,SBERA,,,14.058300018310547,49.95792770385742,216 m,NO2,oxid dusičitý,ug/m^3
40853,SBERA,,,14.058300018310547,49.95792770385742,216 m,NOx,oxidy dusíku,ug/m^3
40852,SBERA,,,14.058300018310547,49.95792770385742,216 m,CO,oxid uhelnatý,ug/m^3
40848,SBERA,,,14.058300018310547,49.95792770385742,216 m,PM2_5,"jemné částice PM2,5",ug/m^3
40854,SBERA,,,14.058300018310547,49.95792770385742,216 m,PM10,částice PM10,ug/m^3
1648793,SBERA,,,14.058300018310547,49.95792770385742,216 m,INDX,Index kvality ovzduší,
40878,TTROA,Lidická,Třinec,18.677799224853516,49.668113708496094,320 m,O3,přízemní ozon,ug/m^3
40885,TTROA,Lidická,Třinec,18.677799224853516,49.668113708496094,320 m,PM2_5,"jemné částice PM2,5",ug/m^3
40880,TTROA,Lidická,Třinec,18.677799224853516,49.668113708496094,320 m,PM10,částice PM10,ug/m^3
1649030,TTROA,Lidická,Třinec,18.677799224853516,49.668113708496094,320 m,INDX,Index kvality ovzduší,
41028,SMBOA,Havlíčkova,Mladá Boleslav,14.913859367370605,50.428646087646484,224 m,NO2,oxid dusičitý,ug/m^3
41029,SMBOA,Havlíčkova,Mladá Boleslav,14.913859367370605,50.428646087646484,224 m,NOx,oxidy dusíku,ug/m^3
41037,SMBOA,Havlíčkova,Mladá Boleslav,14.913859367370605,50.428646087646484,224 m,O3,přízemní ozon,ug/m^3
1283298,SMBOA,Havlíčkova,Mladá Boleslav,14.913859367370605,50.428646087646484,224 m,PM2_5,"jemné částice PM2,5",ug/m^3
41030,SMBOA,Havlíčkova,Mladá Boleslav,14.913859367370605,50.428646087646484,224 m,PM10,částice PM10,ug/m^3
1648958,SMBOA,Havlíčkova,Mladá Boleslav,14.913859367370605,50.428646087646484,224 m,INDX,Index kvality ovzduší,
41090,EPAUA,Čs. Armády,Pardubice - Dukla,15.763548851013184,50.0240364074707,239 m,SO2,oxid siřičitý,ug/m^3
41093,EPAUA,Čs. Armády,Pardubice - Dukla,15.763548851013184,50.0240364074707,239 m,O3,přízemní ozon,ug/m^3
41101,EPAUA,Čs. Armády,Pardubice - Dukla,15.763548851013184,50.0240364074707,239 m,PM2_5,"jemné částice PM2,5",ug/m^3
41095,EPAUA,Čs. Armády,Pardubice - Dukla,15.763548851013184,50.0240364074707,239 m,PM10,částice PM10,ug/m^3
1648634,EPAUA,Čs. Armády,Pardubice - Dukla,15.763548851013184,50.0240364074707,239 m,INDX,Index kvality ovzduší,
188512,ULOMA,,,13.673418045043945,50.58576583862305,265 m,SO2,oxid siřičitý,ug/m^3
