type,geometry.coordinates,geometry.type,properties.measurement.AQ_hourly_index,properties.id,properties.name,properties.updated_at,properties.district,properties.measurement.components.type,properties.measurement.components.averaged_time.averaged_hours,properties.measurement.components.averaged_time.value
Feature,"[14.380116, 50.084385]",Point,2B,ABREA,Praha 6-Břevnov,2026-04-28T18:45:00.733Z,praha-6,NO2,3,20.3
Feature,"[14.380116, 50.084385]",Point,2B,ABREA,Praha 6-Břevnov,2026-04-28T18:45:00.733Z,praha-6,PM10,3,18.8
Feature,"[14.44365, 50.108845]",Point,2B,AHOLA,Praha 7-Holešovice,2026-04-28T18:45:00.733Z,praha-7,NO2,3,15.1
Feature,"[14.44365, 50.108845]",Point,2B,AHOLA,Praha 7-Holešovice,2026-04-28T18:45:00.733Z,praha-7,PM10,3,25.1
Feature,"[14.44365, 50.108845]",Point,2B,AHOLA,Praha 7-Holešovice,2026-04-28T18:45:00.733Z,praha-7,PM2_5,3,6.2
Feature,"[14.51745, 50.03017]",Point,2B,ACHOA,Praha 4-Chodov,2026-04-28T18:45:00.733Z,praha-11,NO2,3,6.4
Feature,"[14.51745, 50.03017]",Point,2B,ACHOA,Praha 4-Chodov,2026-04-28T18:45:00.733Z,praha-11,PM10,3,31.2
Feature,"[14.442049, 50.094238]",Point,2B,AKALA,Praha 8-Karlín,2026-04-28T18:45:00.733Z,praha-8,NO2,3,7.2
Feature,"[14.442049, 50.094238]",Point,2B,AKALA,Praha 8-Karlín,2026-04-28T18:45:00.733Z,praha-8,PM10,3,24.4
Feature,"[14.467578, 50.122189]",Point,2B,AKOBA,Praha 8-Kobylisy,2026-04-28T18:45:00.733Z,praha-8,NO2,3,5.2
Feature,"[14.467578, 50.122189]",Point,2B,AKOBA,Praha 8-Kobylisy,2026-04-28T18:45:00.733Z,praha-8,O3,3,106.0
Feature,"[14.467578, 50.122189]",Point,2B,AKOBA,Praha 8-Kobylisy,2026-04-28T18:45:00.733Z,praha-8,PM10,3,8.6
Feature,"[14.430673, 50.072388]",Point,2B,ALEGA,Praha 2-Legerova (hot spot),2026-04-28T18:45:00.733Z,praha-2,NO2,3,46.9
Feature,"[14.430673, 50.072388]",Point,2B,ALEGA,Praha 2-Legerova (hot spot),2026-04-28T18:45:00.733Z,praha-2,PM10,3,26.3
Feature,"[14.430673, 50.072388]",Point,2B,ALEGA,Praha 2-Legerova (hot spot),2026-04-28T18:45:00.733Z,praha-2,PM2_5,3,9.7
Feature,"[14.257226, 50.107086]",Point,2B,ALERA,Letiště Praha,2026-04-28T18:45:00.733Z,praha-6,NO2,3,5.5
Feature,"[14.257226, 50.107086]",Point,2B,ALERA,Letiště Praha,2026-04-28T18:45:00.733Z,praha-6,O3,3,85.3
Feature,"[14.257226, 50.107086]",Point,2B,ALERA,Letiště Praha,2026-04-28T18:45:00.733Z,praha-6,PM10,3,32.8
Feature,"[14.257226, 50.107086]",Point,2B,ALERA,Letiště Praha,2026-04-28T18:45:00.733Z,praha-6,PM2_5,3,9.4
Feature,"[14.445933, 50.007305]",Point,2B,ALIBA,Praha 4-Libuš,2026-04-28T18:45:00.733Z,praha-12,NO2,3,4.8
Feature,"[14.445933, 50.007305]",Point,2B,ALIBA,Praha 4-Libuš,2026-04-28T18:45:00.733Z,praha-12,O3,3,108.1
Feature,"[14.445933, 50.007305]",Point,2B,ALIBA,Praha 4-Libuš,2026-04-28T18:45:00.733Z,praha-12,PM10,3,16.9
Feature,"[14.445933, 50.007305]",Point,2B,ALIBA,Praha 4-Libuš,2026-04-28T18:45:00.733Z,praha-12,PM2_5,3,8.2
